iter	Passed	Remaining
461	774	901
462	775	899
463	777	898
464	778	895
465	779	893
466	780	890
467	781	888
468	782	886
469	784	884
470	785	882
471	786	879
472	787	877
473	788	875
474	790	873
475	791	870
476	791	868
477	792	865
478	793	863
479	794	861
480	796	859
481	797	856
482	797	853
483	798	851
484	799	848
485	800	846
486	801	843
487	802	841
488	803	839
489	804	836
490	804	834
491	805	831
492	806	829
493	808	827
494	809	825
495	810	823
496	811	820
497	811	818
498	812	816
499	814	814
500	815	812
501	816	810
502	817	807
503	819	806
504	820	804
505	822	802
506	823	800
507	823	797
508	825	795
509	826	793
510	827	792
511	828	789
512	829	787
513	830	785
514	831	783
515	833	781
516	834	779
517	835	777
518	836	774
519	836	772
520	837	770
521	839	768
522	840	766
523	841	764
524	842	761
525	842	759
526	844	757
527	860	769
528	861	767
529	862	764
530	863	762
531	864	760
532	865	758
533	866	756
534	867	754
535	868	751
536	869	749
537	870	747
538	872	745
539	872	743
540	873	741
541	874	738
542	875	736
543	876	734
544	878	733
545	878	730
546	879	728
547	880	726
548	881	723
549	882	721
550	883	719
551	884	717
552	885	715
553	886	713
554	888	712
555	890	710
556	890	708
557	891	706
558	892	704
559	893	701
560	894	700
561	895	697
562	896	696
563	897	693
564	898	691
565	899	689
566	900	687
567	901	685
568	903	684
569	903	681
570	904	679
571	905	677
572	907	675
573	908	674
574	909	672
575	909	669
576	910	667
577	912	666
578	913	664
579	914	662
580	915	660
581	916	658
582	917	655
583	919	654
584	921	653
585	921	651
586	922	649
587	923	647
588	925	645
589	926	643
590	927	642
591	928	639
592	929	638
593	931	636
594	933	635
595	934	633
596	935	631
597	937	630
598	938	628
599	939	626
600	941	624
601	942	623
602	944	622
603	946	620
604	947	618
605	949	617
606	950	615
607	953	614
608	955	613
609	956	611
610	958	610
611	958	607
612	959	605
613	960	603
614	961	602
615	963	600
616	965	599
617	966	597
618	967	595
619	968	593
620	969	591
621	971	590
622	972	588
623	973	586
624	975	585
625	976	583
626	977	581
627	977	579
628	980	578
629	981	576
630	983	574
631	983	572
632	985	571
633	987	569
634	989	568
635	989	566
636	990	564
637	991	562
638	992	560
639	993	559
640	995	557
641	997	556
642	998	554
643	1000	552
644	1000	550
645	1002	549
646	1004	547
647	1005	546
648	1006	544
649	1007	542
650	1008	540
651	1009	538
652	1009	536
653	1010	534
654	1013	533
655	1014	531
656	1015	529
657	1016	528
658	1016	526
659	1018	524
660	1019	523
661	1021	521
662	1023	520
663	1024	518
664	1025	516
665	1026	514
666	1027	512
667	1028	511
668	1032	510
669	1033	508
670	1034	507
671	1034	505
672	1036	503
673	1038	502
674	1039	500
675	1040	498
676	1042	497
677	1043	495
678	1044	493
679	1046	492
680	1047	490
681	1048	488
682	1049	487
683	1050	485
684	1052	483
685	1053	482
686	1056	481
687	1057	479
688	1057	477
689	1058	475
690	1059	473
691	1061	472
692	1062	470
693	1063	469
694	1064	467
695	1065	465
696	1066	463
697	1067	461
698	1068	460
699	1070	458
700	1072	457
701	1074	456
702	1075	454
703	1076	452
704	1078	451
705	1079	449
706	1080	447
707	1081	446
708	1082	444
709	1084	442
710	1086	441
711	1087	439
712	1088	438
713	1090	436
714	1092	435
715	1093	433
716	1094	432
717	1095	430
718	1098	429
719	1099	427
720	1100	425
721	1101	424
722	1103	422
723	1106	421
724	1107	420
725	1108	418
726	1110	416
727	1111	415
728	1112	413
729	1113	411
730	1115	410
731	1116	408
732	1117	407
733	1118	405
734	1118	403
735	1119	401
736	1120	399
737	1122	398
738	1123	396
739	1124	395
740	1126	393
741	1128	392
742	1130	390
743	1132	389
744	1132	387
745	1134	386
746	1135	384
747	1136	382
748	1136	380
749	1137	379
750	1138	377
751	1141	376
752	1142	374
753	1143	372
754	1144	371
755	1145	369
756	1146	367
757	1147	366
758	1149	364
759	1150	363
760	1151	361
761	1151	359
762	1152	358
763	1154	356
764	1155	355
765	1156	353
766	1157	351
767	1158	350
768	1159	348
769	1160	346
770	1161	345
771	1163	343
772	1166	342
773	1167	340
774	1168	339
775	1169	337
776	1170	335
777	1172	334
778	1173	332
779	1174	331
780	1175	329
781	1175	327
782	1176	326
783	1177	324
784	1179	323
785	1181	321
786	1182	319
787	1183	318
788	1184	316
789	1185	315
790	1186	313
791	1188	312
792	1189	310
793	1191	309
794	1192	307
795	1192	305
796	1193	304
797	1194	302
798	1195	300
799	1198	299
800	1199	297
801	1200	296
802	1201	294
803	1203	293
804	1204	291
805	1205	290
806	1206	288
807	1207	286
808	1209	285
809	1211	284
810	1212	282
811	1213	280
812	1215	279
813	1216	277
814	1217	276
815	1218	274
816	1219	273
817	1220	271
818	1222	270
819	1223	268
820	1224	266
821	1225	265
822	1226	263
823	1227	262
824	1229	260
825	1230	259
826	1231	257
827	1233	256
828	1234	254
829	1235	253
830	1237	251
831	1238	250
832	1239	248
833	1240	246
834	1242	245
835	1243	244
836	1245	242
837	1247	241
838	1248	239
839	1249	238
840	1251	236
841	1253	235
842	1254	233
843	1255	232
844	1256	230
845	1258	229
846	1259	227
847	1260	225
848	1260	224
849	1262	222
850	1263	221
851	1265	219
